icd10_code,icd10_definition,icd10_codes_L1,is_sci
S12451G,"other traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with delayed healing",S124,0
S12451K,"other traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with nonunion",S124,0
S12451S,"other traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, sequela",S124,0
S12490A,"other displaced fracture of fifth cervical vertebra, initial encounter for closed fracture",S124,0
S12490B,"other displaced fracture of fifth cervical vertebra, initial encounter for open fracture",S124,0
S12490D,"other displaced fracture of fifth cervical vertebra, subsequent encounter for fracture with routine healing",S124,0
S12490G,"other displaced fracture of fifth cervical vertebra, subsequent encounter for fracture with delayed healing",S124,0
S12490K,"other displaced fracture of fifth cervical vertebra, subsequent encounter for fracture with nonunion",S124,0
S12490S,"other displaced fracture of fifth cervical vertebra, sequela",S124,0
S12491A,"other nondisplaced fracture of fifth cervical vertebra, initial encounter for closed fracture",S124,0
S12491B,"other nondisplaced fracture of fifth cervical vertebra, initial encounter for open fracture",S124,0
S12491D,"other nondisplaced fracture of fifth cervical vertebra, subsequent encounter for fracture with routine healing",S124,0
S12491G,"other nondisplaced fracture of fifth cervical vertebra, subsequent encounter for fracture with delayed healing",S124,0
S12491K,"other nondisplaced fracture of fifth cervical vertebra, subsequent encounter for fracture with nonunion",S124,0
S12491S,"other nondisplaced fracture of fifth cervical vertebra, sequela",S124,0
S12500A,"unspecified displaced fracture of sixth cervical vertebra, initial encounter for closed fracture",S125,0
S12500B,"unspecified displaced fracture of sixth cervical vertebra, initial encounter for open fracture",S125,0
S12500D,"unspecified displaced fracture of sixth cervical vertebra, subsequent encounter for fracture with routine healing",S125,0
S12500G,"unspecified displaced fracture of sixth cervical vertebra, subsequent encounter for fracture with delayed healing",S125,0
S12500K,"unspecified displaced fracture of sixth cervical vertebra, subsequent encounter for fracture with nonunion",S125,0
S12500S,"unspecified displaced fracture of sixth cervical vertebra, sequela",S125,0
S12501A,"unspecified nondisplaced fracture of sixth cervical vertebra, initial encounter for closed fracture",S125,0
S12501B,"unspecified nondisplaced fracture of sixth cervical vertebra, initial encounter for open fracture",S125,0
S12501D,"unspecified nondisplaced fracture of sixth cervical vertebra, subsequent encounter for fracture with routine healing",S125,0
S12501G,"unspecified nondisplaced fracture of sixth cervical vertebra, subsequent encounter for fracture with delayed healing",S125,0
S12501K,"unspecified nondisplaced fracture of sixth cervical vertebra, subsequent encounter for fracture with nonunion",S125,0
S12501S,"unspecified nondisplaced fracture of sixth cervical vertebra, sequela",S125,0
S12530A,"unspecified traumatic displaced spondylolisthesis of sixth cervical vertebra, initial encounter for closed fracture",S125,0
S12530B,"unspecified traumatic displaced spondylolisthesis of sixth cervical vertebra, initial encounter for open fracture",S125,0
S12530D,"unspecified traumatic displaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with routine healing",S125,0
S12530G,"unspecified traumatic displaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with delayed healing",S125,0
S12530K,"unspecified traumatic displaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with nonunion",S125,0
S12530S,"unspecified traumatic displaced spondylolisthesis of sixth cervical vertebra, sequela",S125,0
S12531A,"unspecified traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, initial encounter for closed fracture",S125,0
S12531B,"unspecified traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, initial encounter for open fracture",S125,0
S12531D,"unspecified traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with routine healing",S125,0
S12531G,"unspecified traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with delayed healing",S125,0
S12531K,"unspecified traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with nonunion",S125,0
S12531S,"unspecified traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, sequela",S125,0
S1254XA,"type iii traumatic spondylolisthesis of sixth cervical vertebra, initial encounter for closed fracture",S125,0
S1254XB,"type iii traumatic spondylolisthesis of sixth cervical vertebra, initial encounter for open fracture",S125,0
S1254XD,"type iii traumatic spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with routine healing",S125,0
S1254XG,"type iii traumatic spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with delayed healing",S125,0
S1254XK,"type iii traumatic spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with nonunion",S125,0
S1254XS,"type iii traumatic spondylolisthesis of sixth cervical vertebra, sequela",S125,0
S12550A,"other traumatic displaced spondylolisthesis of sixth cervical vertebra, initial encounter for closed fracture",S125,0
S12550B,"other traumatic displaced spondylolisthesis of sixth cervical vertebra, initial encounter for open fracture",S125,0
S12550D,"other traumatic displaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with routine healing",S125,0
S12550G,"other traumatic displaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with delayed healing",S125,0
S12550K,"other traumatic displaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with nonunion",S125,0
S12550S,"other traumatic displaced spondylolisthesis of sixth cervical vertebra, sequela",S125,0
S12551A,"other traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, initial encounter for closed fracture",S125,0
S12551B,"other traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, initial encounter for open fracture",S125,0
S12551D,"other traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with routine healing",S125,0
S12551G,"other traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with delayed healing",S125,0
S12551K,"other traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, subsequent encounter for fracture with nonunion",S125,0
S12551S,"other traumatic nondisplaced spondylolisthesis of sixth cervical vertebra, sequela",S125,0
S12590A,"other displaced fracture of sixth cervical vertebra, initial encounter for closed fracture",S125,0
S12590B,"other displaced fracture of sixth cervical vertebra, initial encounter for open fracture",S125,0
S12590D,"other displaced fracture of sixth cervical vertebra, subsequent encounter for fracture with routine healing",S125,0
S12590G,"other displaced fracture of sixth cervical vertebra, subsequent encounter for fracture with delayed healing",S125,0
S12590K,"other displaced fracture of sixth cervical vertebra, subsequent encounter for fracture with nonunion",S125,0
S12590S,"other displaced fracture of sixth cervical vertebra, sequela",S125,0
S12591A,"other nondisplaced fracture of sixth cervical vertebra, initial encounter for closed fracture",S125,0
S12591B,"other nondisplaced fracture of sixth cervical vertebra, initial encounter for open fracture",S125,0
S12591D,"other nondisplaced fracture of sixth cervical vertebra, subsequent encounter for fracture with routine healing",S125,0
S12591G,"other nondisplaced fracture of sixth cervical vertebra, subsequent encounter for fracture with delayed healing",S125,0
S12591K,"other nondisplaced fracture of sixth cervical vertebra, subsequent encounter for fracture with nonunion",S125,0
S12591S,"other nondisplaced fracture of sixth cervical vertebra, sequela",S125,0
S12600A,"unspecified displaced fracture of seventh cervical vertebra, initial encounter for closed fracture",S126,0
S12600B,"unspecified displaced fracture of seventh cervical vertebra, initial encounter for open fracture",S126,0
S12600D,"unspecified displaced fracture of seventh cervical vertebra, subsequent encounter for fracture with routine healing",S126,0
S12600G,"unspecified displaced fracture of seventh cervical vertebra, subsequent encounter for fracture with delayed healing",S126,0
S12600K,"unspecified displaced fracture of seventh cervical vertebra, subsequent encounter for fracture with nonunion",S126,0
S12600S,"unspecified displaced fracture of seventh cervical vertebra, sequela",S126,0
S12601A,"unspecified nondisplaced fracture of seventh cervical vertebra, initial encounter for closed fracture",S126,0
S12601B,"unspecified nondisplaced fracture of seventh cervical vertebra, initial encounter for open fracture",S126,0
S12601D,"unspecified nondisplaced fracture of seventh cervical vertebra, subsequent encounter for fracture with routine healing",S126,0
S12601G,"unspecified nondisplaced fracture of seventh cervical vertebra, subsequent encounter for fracture with delayed healing",S126,0
S12601K,"unspecified nondisplaced fracture of seventh cervical vertebra, subsequent encounter for fracture with nonunion",S126,0
S12601S,"unspecified nondisplaced fracture of seventh cervical vertebra, sequela",S126,0
S12630A,"unspecified traumatic displaced spondylolisthesis of seventh cervical vertebra, initial encounter for closed fracture",S126,0
S12630B,"unspecified traumatic displaced spondylolisthesis of seventh cervical vertebra, initial encounter for open fracture",S126,0
S12630D,"unspecified traumatic displaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with routine healing",S126,0
S12630G,"unspecified traumatic displaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with delayed healing",S126,0
S12630K,"unspecified traumatic displaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with nonunion",S126,0
S12630S,"unspecified traumatic displaced spondylolisthesis of seventh cervical vertebra, sequela",S126,0
S12631A,"unspecified traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, initial encounter for closed fracture",S126,0
S12631B,"unspecified traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, initial encounter for open fracture",S126,0
S12631D,"unspecified traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with routine healing",S126,0
S12631G,"unspecified traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with delayed healing",S126,0
S12631K,"unspecified traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with nonunion",S126,0
S12631S,"unspecified traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, sequela",S126,0
S1264XA,"type iii traumatic spondylolisthesis of seventh cervical vertebra, initial encounter for closed fracture",S126,0
S1264XB,"type iii traumatic spondylolisthesis of seventh cervical vertebra, initial encounter for open fracture",S126,0
S1264XD,"type iii traumatic spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with routine healing",S126,0
S1264XG,"type iii traumatic spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with delayed healing",S126,0
S1264XK,"type iii traumatic spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with nonunion",S126,0
S1264XS,"type iii traumatic spondylolisthesis of seventh cervical vertebra, sequela",S126,0
S12650A,"other traumatic displaced spondylolisthesis of seventh cervical vertebra, initial encounter for closed fracture",S126,0
S12650B,"other traumatic displaced spondylolisthesis of seventh cervical vertebra, initial encounter for open fracture",S126,0
S12650D,"other traumatic displaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with routine healing",S126,0
S12650G,"other traumatic displaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with delayed healing",S126,0
S12650K,"other traumatic displaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with nonunion",S126,0
S12650S,"other traumatic displaced spondylolisthesis of seventh cervical vertebra, sequela",S126,0
S12651A,"other traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, initial encounter for closed fracture",S126,0
S12651B,"other traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, initial encounter for open fracture",S126,0
S12651D,"other traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with routine healing",S126,0
S12651G,"other traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with delayed healing",S126,0
S12651K,"other traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, subsequent encounter for fracture with nonunion",S126,0
S12651S,"other traumatic nondisplaced spondylolisthesis of seventh cervical vertebra, sequela",S126,0
S12690A,"other displaced fracture of seventh cervical vertebra, initial encounter for closed fracture",S126,0
S12690B,"other displaced fracture of seventh cervical vertebra, initial encounter for open fracture",S126,0
S12690D,"other displaced fracture of seventh cervical vertebra, subsequent encounter for fracture with routine healing",S126,0
S12690G,"other displaced fracture of seventh cervical vertebra, subsequent encounter for fracture with delayed healing",S126,0
S12690K,"other displaced fracture of seventh cervical vertebra, subsequent encounter for fracture with nonunion",S126,0
S12690S,"other displaced fracture of seventh cervical vertebra, sequela",S126,0
S12691A,"other nondisplaced fracture of seventh cervical vertebra, initial encounter for closed fracture",S126,0
S12691B,"other nondisplaced fracture of seventh cervical vertebra, initial encounter for open fracture",S126,0
S12691D,"other nondisplaced fracture of seventh cervical vertebra, subsequent encounter for fracture with routine healing",S126,0
S12691G,"other nondisplaced fracture of seventh cervical vertebra, subsequent encounter for fracture with delayed healing",S126,0
S12691K,"other nondisplaced fracture of seventh cervical vertebra, subsequent encounter for fracture with nonunion",S126,0
S12691S,"other nondisplaced fracture of seventh cervical vertebra, sequela",S126,0
S128XXA,"fracture of other parts of neck, initial encounter",S128,0
S128XXD,"fracture of other parts of neck, subsequent encounter",S128,0
S128XXS,"fracture of other parts of neck, sequela",S128,0
S129XXA,"fracture of neck, unspecified, initial encounter",S129,0
S129XXD,"fracture of neck, unspecified, subsequent encounter",S129,0
S129XXS,"fracture of neck, unspecified, sequela",S129,0
S140XXA,"concussion and edema of cervical spinal cord, initial encounter",S140,1
S140XXD,"concussion and edema of cervical spinal cord, subsequent encounter",S140,1
S140XXS,"concussion and edema of cervical spinal cord, sequela",S140,1
S14101A,"unspecified injury at c1 level of cervical spinal cord, initial encounter",S141,1
S14101D,"unspecified injury at c1 level of cervical spinal cord, subsequent encounter",S141,1
S14101S,"unspecified injury at c1 level of cervical spinal cord, sequela",S141,1
S14102A,"unspecified injury at c2 level of cervical spinal cord, initial encounter",S141,1
S14102D,"unspecified injury at c2 level of cervical spinal cord, subsequent encounter",S141,1
S14102S,"unspecified injury at c2 level of cervical spinal cord, sequela",S141,1
S14103A,"unspecified injury at c3 level of cervical spinal cord, initial encounter",S141,1
S14103D,"unspecified injury at c3 level of cervical spinal cord, subsequent encounter",S141,1
S14103S,"unspecified injury at c3 level of cervical spinal cord, sequela",S141,1
S14104A,"unspecified injury at c4 level of cervical spinal cord, initial encounter",S141,1
S14104D,"unspecified injury at c4 level of cervical spinal cord, subsequent encounter",S141,1
S14104S,"unspecified injury at c4 level of cervical spinal cord, sequela",S141,1
S14105A,"unspecified injury at c5 level of cervical spinal cord, initial encounter",S141,1
S14105D,"unspecified injury at c5 level of cervical spinal cord, subsequent encounter",S141,1
S14105S,"unspecified injury at c5 level of cervical spinal cord, sequela",S141,1
S14106A,"unspecified injury at c6 level of cervical spinal cord, initial encounter",S141,1
S14106D,"unspecified injury at c6 level of cervical spinal cord, subsequent encounter",S141,1
S14106S,"unspecified injury at c6 level of cervical spinal cord, sequela",S141,1
S14107A,"unspecified injury at c7 level of cervical spinal cord, initial encounter",S141,1
S14107D,"unspecified injury at c7 level of cervical spinal cord, subsequent encounter",S141,1
S14107S,"unspecified injury at c7 level of cervical spinal cord, sequela",S141,1
S14108A,"unspecified injury at c8 level of cervical spinal cord, initial encounter",S141,1
S14108D,"unspecified injury at c8 level of cervical spinal cord, subsequent encounter",S141,1
S14108S,"unspecified injury at c8 level of cervical spinal cord, sequela",S141,1
S14109A,"unspecified injury at unspecified level of cervical spinal cord, initial encounter",S141,1
S14109D,"unspecified injury at unspecified level of cervical spinal cord, subsequent encounter",S141,1
S14109S,"unspecified injury at unspecified level of cervical spinal cord, sequela",S141,1
S14111A,"complete lesion at c1 level of cervical spinal cord, initial encounter",S141,1
S14111D,"complete lesion at c1 level of cervical spinal cord, subsequent encounter",S141,1
S14111S,"complete lesion at c1 level of cervical spinal cord, sequela",S141,1
S14112A,"complete lesion at c2 level of cervical spinal cord, initial encounter",S141,1
S14112D,"complete lesion at c2 level of cervical spinal cord, subsequent encounter",S141,1
S14112S,"complete lesion at c2 level of cervical spinal cord, sequela",S141,1
S14113A,"complete lesion at c3 level of cervical spinal cord, initial encounter",S141,1
S14113D,"complete lesion at c3 level of cervical spinal cord, subsequent encounter",S141,1
S14113S,"complete lesion at c3 level of cervical spinal cord, sequela",S141,1
S14114A,"complete lesion at c4 level of cervical spinal cord, initial encounter",S141,1
S14114D,"complete lesion at c4 level of cervical spinal cord, subsequent encounter",S141,1
S14114S,"complete lesion at c4 level of cervical spinal cord, sequela",S141,1
S14115A,"complete lesion at c5 level of cervical spinal cord, initial encounter",S141,1
S14115D,"complete lesion at c5 level of cervical spinal cord, subsequent encounter",S141,1
S14115S,"complete lesion at c5 level of cervical spinal cord, sequela",S141,1
S14116A,"complete lesion at c6 level of cervical spinal cord, initial encounter",S141,1
S14116D,"complete lesion at c6 level of cervical spinal cord, subsequent encounter",S141,1
S14116S,"complete lesion at c6 level of cervical spinal cord, sequela",S141,1
S14117A,"complete lesion at c7 level of cervical spinal cord, initial encounter",S141,1
S14117D,"complete lesion at c7 level of cervical spinal cord, subsequent encounter",S141,1
S14117S,"complete lesion at c7 level of cervical spinal cord, sequela",S141,1
S14118A,"complete lesion at c8 level of cervical spinal cord, initial encounter",S141,1
S14118D,"complete lesion at c8 level of cervical spinal cord, subsequent encounter",S141,1
S14118S,"complete lesion at c8 level of cervical spinal cord, sequela",S141,1
S14119A,"complete lesion at unspecified level of cervical spinal cord, initial encounter",S141,1
S14119D,"complete lesion at unspecified level of cervical spinal cord, subsequent encounter",S141,1
S14119S,"complete lesion at unspecified level of cervical spinal cord, sequela",S141,1
S14121A,"central cord syndrome at c1 level of cervical spinal cord, initial encounter",S141,1
S14121D,"central cord syndrome at c1 level of cervical spinal cord, subsequent encounter",S141,1
S14121S,"central cord syndrome at c1 level of cervical spinal cord, sequela",S141,1
S14122A,"central cord syndrome at c2 level of cervical spinal cord, initial encounter",S141,1
S14122D,"central cord syndrome at c2 level of cervical spinal cord, subsequent encounter",S141,1
S14122S,"central cord syndrome at c2 level of cervical spinal cord, sequela",S141,1
S14123A,"central cord syndrome at c3 level of cervical spinal cord, initial encounter",S141,1
S14123D,"central cord syndrome at c3 level of cervical spinal cord, subsequent encounter",S141,1
S14123S,"central cord syndrome at c3 level of cervical spinal cord, sequela",S141,1
S14124A,"central cord syndrome at c4 level of cervical spinal cord, initial encounter",S141,1
S14124D,"central cord syndrome at c4 level of cervical spinal cord, subsequent encounter",S141,1
S14124S,"central cord syndrome at c4 level of cervical spinal cord, sequela",S141,1
S14125A,"central cord syndrome at c5 level of cervical spinal cord, initial encounter",S141,1
S14125D,"central cord syndrome at c5 level of cervical spinal cord, subsequent encounter",S141,1
S14125S,"central cord syndrome at c5 level of cervical spinal cord, sequela",S141,1
S14126A,"central cord syndrome at c6 level of cervical spinal cord, initial encounter",S141,1
S14126D,"central cord syndrome at c6 level of cervical spinal cord, subsequent encounter",S141,1
S14126S,"central cord syndrome at c6 level of cervical spinal cord, sequela",S141,1
S14127A,"central cord syndrome at c7 level of cervical spinal cord, initial encounter",S141,1
S14127D,"central cord syndrome at c7 level of cervical spinal cord, subsequent encounter",S141,1
S14127S,"central cord syndrome at c7 level of cervical spinal cord, sequela",S141,1
S14128A,"central cord syndrome at c8 level of cervical spinal cord, initial encounter",S141,1
S14128D,"central cord syndrome at c8 level of cervical spinal cord, subsequent encounter",S141,1
S14128S,"central cord syndrome at c8 level of cervical spinal cord, sequela",S141,1
S14129A,"central cord syndrome at unspecified level of cervical spinal cord, initial encounter",S141,1
S14129D,"central cord syndrome at unspecified level of cervical spinal cord, subsequent encounter",S141,1
S14129S,"central cord syndrome at unspecified level of cervical spinal cord, sequela",S141,1
S14131A,"anterior cord syndrome at c1 level of cervical spinal cord, initial encounter",S141,1
S14131D,"anterior cord syndrome at c1 level of cervical spinal cord, subsequent encounter",S141,1
S14131S,"anterior cord syndrome at c1 level of cervical spinal cord, sequela",S141,1
S14132A,"anterior cord syndrome at c2 level of cervical spinal cord, initial encounter",S141,1
S14132D,"anterior cord syndrome at c2 level of cervical spinal cord, subsequent encounter",S141,1
S14132S,"anterior cord syndrome at c2 level of cervical spinal cord, sequela",S141,1
S14133A,"anterior cord syndrome at c3 level of cervical spinal cord, initial encounter",S141,1
S14133D,"anterior cord syndrome at c3 level of cervical spinal cord, subsequent encounter",S141,1
S14133S,"anterior cord syndrome at c3 level of cervical spinal cord, sequela",S141,1
S14134A,"anterior cord syndrome at c4 level of cervical spinal cord, initial encounter",S141,1
S14134D,"anterior cord syndrome at c4 level of cervical spinal cord, subsequent encounter",S141,1
S14134S,"anterior cord syndrome at c4 level of cervical spinal cord, sequela",S141,1
S14135A,"anterior cord syndrome at c5 level of cervical spinal cord, initial encounter",S141,1
S14135D,"anterior cord syndrome at c5 level of cervical spinal cord, subsequent encounter",S141,1
S14135S,"anterior cord syndrome at c5 level of cervical spinal cord, sequela",S141,1
S14136A,"anterior cord syndrome at c6 level of cervical spinal cord, initial encounter",S141,1
S14136D,"anterior cord syndrome at c6 level of cervical spinal cord, subsequent encounter",S141,1
S14136S,"anterior cord syndrome at c6 level of cervical spinal cord, sequela",S141,1
S14137A,"anterior cord syndrome at c7 level of cervical spinal cord, initial encounter",S141,1
S14137D,"anterior cord syndrome at c7 level of cervical spinal cord, subsequent encounter",S141,1
S14137S,"anterior cord syndrome at c7 level of cervical spinal cord, sequela",S141,1
S14138A,"anterior cord syndrome at c8 level of cervical spinal cord, initial encounter",S141,1
S14138D,"anterior cord syndrome at c8 level of cervical spinal cord, subsequent encounter",S141,1
S14138S,"anterior cord syndrome at c8 level of cervical spinal cord, sequela",S141,1
S14139A,"anterior cord syndrome at unspecified level of cervical spinal cord, initial encounter",S141,1
S14139D,"anterior cord syndrome at unspecified level of cervical spinal cord, subsequent encounter",S141,1
S14139S,"anterior cord syndrome at unspecified level of cervical spinal cord, sequela",S141,1
S14141A,"brown-sequard syndrome at c1 level of cervical spinal cord, initial encounter",S141,1
S14141D,"brown-sequard syndrome at c1 level of cervical spinal cord, subsequent encounter",S141,1
S14141S,"brown-sequard syndrome at c1 level of cervical spinal cord, sequela",S141,1
S14142A,"brown-sequard syndrome at c2 level of cervical spinal cord, initial encounter",S141,1
S14142D,"brown-sequard syndrome at c2 level of cervical spinal cord, subsequent encounter",S141,1
S14142S,"brown-sequard syndrome at c2 level of cervical spinal cord, sequela",S141,1
S14143A,"brown-sequard syndrome at c3 level of cervical spinal cord, initial encounter",S141,1
S14143D,"brown-sequard syndrome at c3 level of cervical spinal cord, subsequent encounter",S141,1
S14143S,"brown-sequard syndrome at c3 level of cervical spinal cord, sequela",S141,1
S14144A,"brown-sequard syndrome at c4 level of cervical spinal cord, initial encounter",S141,1
S14144D,"brown-sequard syndrome at c4 level of cervical spinal cord, subsequent encounter",S141,1
S14144S,"brown-sequard syndrome at c4 level of cervical spinal cord, sequela",S141,1
S14145A,"brown-sequard syndrome at c5 level of cervical spinal cord, initial encounter",S141,1
S14145D,"brown-sequard syndrome at c5 level of cervical spinal cord, subsequent encounter",S141,1
S14145S,"brown-sequard syndrome at c5 level of cervical spinal cord, sequela",S141,1
S14146A,"brown-sequard syndrome at c6 level of cervical spinal cord, initial encounter",S141,1
S14146D,"brown-sequard syndrome at c6 level of cervical spinal cord, subsequent encounter",S141,1
S14146S,"brown-sequard syndrome at c6 level of cervical spinal cord, sequela",S141,1
S14147A,"brown-sequard syndrome at c7 level of cervical spinal cord, initial encounter",S141,1
S14147D,"brown-sequard syndrome at c7 level of cervical spinal cord, subsequent encounter",S141,1
S14147S,"brown-sequard syndrome at c7 level of cervical spinal cord, sequela",S141,1
S14148A,"brown-sequard syndrome at c8 level of cervical spinal cord, initial encounter",S141,1
S14148D,"brown-sequard syndrome at c8 level of cervical spinal cord, subsequent encounter",S141,1
S14148S,"brown-sequard syndrome at c8 level of cervical spinal cord, sequela",S141,1
S14149A,"brown-sequard syndrome at unspecified level of cervical spinal cord, initial encounter",S141,1
S14149D,"brown-sequard syndrome at unspecified level of cervical spinal cord, subsequent encounter",S141,1
S14149S,"brown-sequard syndrome at unspecified level of cervical spinal cord, sequela",S141,1
S14151A,"other incomplete lesion at c1 level of cervical spinal cord, initial encounter",S141,1
S14151D,"other incomplete lesion at c1 level of cervical spinal cord, subsequent encounter",S141,1
S14151S,"other incomplete lesion at c1 level of cervical spinal cord, sequela",S141,1
S14152A,"other incomplete lesion at c2 level of cervical spinal cord, initial encounter",S141,1
S14152D,"other incomplete lesion at c2 level of cervical spinal cord, subsequent encounter",S141,1
S14152S,"other incomplete lesion at c2 level of cervical spinal cord, sequela",S141,1
S14153A,"other incomplete lesion at c3 level of cervical spinal cord, initial encounter",S141,1
S14153D,"other incomplete lesion at c3 level of cervical spinal cord, subsequent encounter",S141,1
S14153S,"other incomplete lesion at c3 level of cervical spinal cord, sequela",S141,1
S14154A,"other incomplete lesion at c4 level of cervical spinal cord, initial encounter",S141,1
S14154D,"other incomplete lesion at c4 level of cervical spinal cord, subsequent encounter",S141,1
S14154S,"other incomplete lesion at c4 level of cervical spinal cord, sequela",S141,1
S14155A,"other incomplete lesion at c5 level of cervical spinal cord, initial encounter",S141,1
S14155D,"other incomplete lesion at c5 level of cervical spinal cord, subsequent encounter",S141,1
S14155S,"other incomplete lesion at c5 level of cervical spinal cord, sequela",S141,1
S14156A,"other incomplete lesion at c6 level of cervical spinal cord, initial encounter",S141,1
S14156D,"other incomplete lesion at c6 level of cervical spinal cord, subsequent encounter",S141,1
S14156S,"other incomplete lesion at c6 level of cervical spinal cord, sequela",S141,1
S14157A,"other incomplete lesion at c7 level of cervical spinal cord, initial encounter",S141,1
S14157D,"other incomplete lesion at c7 level of cervical spinal cord, subsequent encounter",S141,1
S14157S,"other incomplete lesion at c7 level of cervical spinal cord, sequela",S141,1
S14158A,"other incomplete lesion at c8 level of cervical spinal cord, initial encounter",S141,1
S14158D,"other incomplete lesion at c8 level of cervical spinal cord, subsequent encounter",S141,1
S14158S,"other incomplete lesion at c8 level of cervical spinal cord, sequela",S141,1
S14159A,"other incomplete lesion at unspecified level of cervical spinal cord, initial encounter",S141,1
S14159D,"other incomplete lesion at unspecified level of cervical spinal cord, subsequent encounter",S141,1
S14159S,"other incomplete lesion at unspecified level of cervical spinal cord, sequela",S141,1
S142XXA,"injury of nerve root of cervical spine, initial encounter",S142,1
S142XXD,"injury of nerve root of cervical spine, subsequent encounter",S142,1
S142XXS,"injury of nerve root of cervical spine, sequela",S142,1
S22000A,"wedge compression fracture of unspecified thoracic vertebra, initial encounter for closed fracture",S220,0
S22000B,"wedge compression fracture of unspecified thoracic vertebra, initial encounter for open fracture",S220,0
S22000D,"wedge compression fracture of unspecified thoracic vertebra, subsequent encounter for fracture with routine healing",S220,0
S22000G,"wedge compression fracture of unspecified thoracic vertebra, subsequent encounter for fracture with delayed healing",S220,0
S22000K,"wedge compression fracture of unspecified thoracic vertebra, subsequent encounter for fracture with nonunion",S220,0
S22000S,"wedge compression fracture of unspecified thoracic vertebra, sequela",S220,0
S22001A,"stable burst fracture of unspecified thoracic vertebra, initial encounter for closed fracture",S220,0
S22001B,"stable burst fracture of unspecified thoracic vertebra, initial encounter for open fracture",S220,0
S22001D,"stable burst fracture of unspecified thoracic vertebra, subsequent encounter for fracture with routine healing",S220,0
S22001G,"stable burst fracture of unspecified thoracic vertebra, subsequent encounter for fracture with delayed healing",S220,0
S22001K,"stable burst fracture of unspecified thoracic vertebra, subsequent encounter for fracture with nonunion",S220,0
S22001S,"stable burst fracture of unspecified thoracic vertebra, sequela",S220,0
S22002A,"unstable burst fracture of unspecified thoracic vertebra, initial encounter for closed fracture",S220,0
S22002B,"unstable burst fracture of unspecified thoracic vertebra, initial encounter for open fracture",S220,0
S22002D,"unstable burst fracture of unspecified thoracic vertebra, subsequent encounter for fracture with routine healing",S220,0
S22002G,"unstable burst fracture of unspecified thoracic vertebra, subsequent encounter for fracture with delayed healing",S220,0
S22002K,"unstable burst fracture of unspecified thoracic vertebra, subsequent encounter for fracture with nonunion",S220,0
S22002S,"unstable burst fracture of unspecified thoracic vertebra, sequela",S220,0
S22008A,"other fracture of unspecified thoracic vertebra, initial encounter for closed fracture",S220,0
S22008B,"other fracture of unspecified thoracic vertebra, initial encounter for open fracture",S220,0
S22008D,"other fracture of unspecified thoracic vertebra, subsequent encounter for fracture with routine healing",S220,0
